nm,catégorie,nf,epicene,proper_noun,m_suffix,f_suffix
Bouleternérois,Nm,Bouleternéroise,0,1,True,True
bouletteux,Nm,bouletteuse,0,0,False,True
bouleur,Nm,bouleuse,0,0,True,True
Bouleurois,Nm,Bouleuroise,0,1,True,True
Bouleusien,Nm,Bouleusienne,0,1,True,True
bouleux,Nm,bouleuse,0,0,False,True
boulevardier,Nm,boulevardière,0,0,True,True
Bouliacais,Nm,Bouliacaise,0,1,True,True
Boulignard,Nm,Boulignarde,0,1,True,True
bouliste,Nm,bouliste,1,0,True,True
Boullaisien,Nm,Boullaisienne,0,1,True,True
Boullevillais,Nm,Boullevillaise,0,1,True,True
Boulocain,Nm,Boulocaine,0,1,True,True
Boulocois,Nm,Boulocoise,0,1,True,True
boulonnier,Nm,boulonnière,0,0,True,True
Boultois,Nm,Boultoise,0,1,True,True
Boulzicourtois,Nm,Boulzicourtoise,0,1,True,True
Boumien,Nm,Boumienne,0,1,True,True
Boumourtais,Nm,Boumourtaise,0,1,True,True
Bounavois,Nm,Bounavoise,0,1,True,True
Bouniaguais,Nm,Bouniaguaise,0,1,True,True
Boupérien,Nm,Boupérienne,0,1,True,True
Bouquehaultier,Nm,Bouquehaultière,0,1,True,True
Bouquelonnais,Nm,Bouquelonnaise,0,1,True,True
Bouquemaisonnais,Nm,Bouquemaisonnaise,0,1,True,True
bouquetier,Nm,bouquetière,0,0,True,True
Bouquetin,Nm,Bouquetine,0,1,True,True
bouquetin,Nm,étagne,0,0,True,False
Bouquetotois,Nm,Bouquetotoise,0,1,True,True
Bouquin,Nm,Bouquine,0,1,True,True
bouquinier,Nm,bouquinière,0,0,True,True
bouquiniste,Nm,bouquiniste,1,0,True,True
Bouraillais,Nm,Bouraillaise,0,1,True,True
Bourantonnais,Nm,Bourantonnaise,0,1,True,True
Bouraysien,Nm,Bouraysienne,0,1,True,True
bourbakiste,Nm,bourbakiste,1,0,True,True
Bourbévellois,Nm,Bourbévelloise,0,1,True,True
bourbine,Nm,bourbine,1,0,False,True
bourbonien,Nm,bourbonienne,0,0,True,True
Bourbonnais,Nm,Bourbonnaise,0,1,True,True
bourbonnais,Nm,bourbonnaise,0,0,True,True
Bourbonnien,Nm,Bourbonnienne,0,1,True,True
bourbonnien,Nm,bourbonnienne,0,0,True,True
Bourboulien,Nm,Bourboulienne,0,1,True,True
Bourbourgeois,Nm,Bourbourgeoise,0,1,True,True
Bourbourien,Nm,Bourbourienne,0,1,True,True
Bourcain,Nm,Bourcaine,0,1,True,True
Bourcefrançais,Nm,Bourcefrançaise,0,1,True,True
Bourcominois,Nm,Bourcominoise,0,1,True,True
Bourdainvillais,Nm,Bourdainvillaise,0,1,True,True
Bourdalatois,Nm,Bourdalatoise,0,1,True,True
Bourdeillais,Nm,Bourdeillaise,0,1,True,True
Bourdelais,Nm,Bourdelaise,0,1,True,True
Bourdelinois,Nm,Bourdelinoise,0,1,True,True
Bourdellais,Nm,Bourdellaise,0,1,True,True
Bourdelois,Nm,Bourdeloise,0,1,True,True
Bourdenysien,Nm,Bourdenysienne,0,1,True,True
bourdeur,Nm,bourdeuse,0,0,True,True
Bourdicois,Nm,Bourdicoise,0,1,True,True
Bourdonnais,Nm,Bourdonnaise,0,1,True,True
bourdonneur,Nm,bourdonneuse,0,0,True,True
bourdonnier,Nm,bourdonnière,0,0,True,True
bourdonniste,Nm,bourdonniste,1,0,True,True
Bourdunais,Nm,Bourdunaise,0,1,True,True
Bourecquois,Nm,Bourecquoise,0,1,True,True
Bouressois,Nm,Bouressoise,0,1,True,True
Bouretien,Nm,Bouretienne,0,1,True,True
Bourg-Archambaugeois,Nm,Bourg-Archambaugeoise,0,1,True,True
Bourg-Bruchois,Nm,Bourg-Bruchoise,0,1,True,True
Bourg-le-Comtois,Nm,Bourg-le-Comtoise,0,1,True,True
Bourgadois,Nm,Bourgadoise,0,1,True,True
Bourgcomptois,Nm,Bourgcomptoise,0,1,True,True
bourge,Nm,bourge,1,0,True,True
Bourgeauvillais,Nm,Bourgeauvillaise,0,1,True,True
Bourgenollai,Nm,Bourguenollaise,0,1,False,True
Bourgeois,Nm,Bourgeoise,0,1,True,True
bourgeois,Nm,bourgeoise,0,0,True,True
Bourgeoyeux,Nm,Bourgeoyeuse,0,1,False,True
Bourgerain,Nm,Bourgeraine,0,1,True,True
Bourgetain,Nm,Bourgetaine,0,1,True,True
Bourgetin,Nm,Bourgetine,0,1,True,True
Bourgheimois,Nm,Bourgheimoise,0,1,True,True
Bourghellois,Nm,Bourghelloise,0,1,True,True
Bourgien,Nm,Bourgienne,0,1,True,True
Bourgneuvien,Nm,Bourgneuvienne,0,1,True,True
Bourgnovien,Nm,Bourgnovienne,0,1,True,True
Bourgonçois,Nm,Bourgonçoise,0,1,True,True
Bourgonien,Nm,Bourgonienne,0,1,True,True
Bourgonnais,Nm,Bourgonnaise,0,1,True,True
Bourgougnaguais,Nm,Bourgougnaguaise,0,1,True,True
Bourguébois,Nm,Bourguéboise,0,1,True,True
Bourguébusien,Nm,Bourguébusienne,0,1,True,True
Bourgueillois,Nm,Bourgueilloise,0,1,True,True
Bourguifontain,Nm,Bourguifontaine,0,1,True,True
Bourguignon,Nm,Bourguignonne,0,1,True,True
bourguignon,Nm,bourguignonne,0,0,True,True
Bourideysien,Nm,Bourideysienne,0,1,True,True
Bouriégeois,Nm,Bouriégeoise,0,1,True,True
Bourigeolois,Nm,Bourigeoloise,0,1,True,True
Bourignais,Nm,Bourignaise,0,1,True,True
Bourlésien,Nm,Bourlésienne,0,1,True,True
bourleur,Nm,bourleuse,0,0,True,True
bourlingueur,Nm,bourlingueuse,0,0,True,True
Bourlonais,Nm,Bourlonaise,0,1,True,True
Bourmontais,Nm,Bourmontaise,0,1,True,True
Bournaisien,Nm,Bournaisienne,0,1,True,True
Bournanais,Nm,Bournanaise,0,1,True,True
Bournandais,Nm,Bournandaise,0,1,True,True
Bournazelois,Nm,Bournazeloise,0,1,True,True
Bournelois,Nm,Bourneloise,0,1,True,True
Bournevaizien,Nm,Bournevaizienne,0,1,True,True
Bournevillais,Nm,Bournevillaise,0,1,True,True
Bournezélien,Nm,Bournezélienne,0,1,True,True
Bourniquelois,Nm,Bourniqueloise,0,1,True,True
Bournonclois,Nm,Bournoncloise,0,1,True,True
Bournonvillois,Nm,Bournonvilloise,0,1,True,True
Bournosois,Nm,Bournosoise,0,1,True,True
Bouroundais,Nm,Bouroundaise,0,1,True,True
Bourquais,Nm,Bourquaise,0,1,True,True
Bourquin,Nm,Bourquine,0,1,True,True
Bourranais,Nm,Bourranaise,0,1,True,True
Bourréacais,Nm,Bourréacaise,0,1,True,True
bourrelier,Nm,bourrelière,0,0,True,True
Bourretais,Nm,Bourretaise,0,1,True,True
Bourrinchon,Nm,Bourrinchone,0,1,True,False
Bourriotais,Nm,Bourriotaise,0,1,True,True
Bourrouillanois,Nm,Bourrouillanoise,0,1,True,True
Boursaultier,Nm,Boursaultière,0,1,True,True
Bourschedois,Nm,Bourschedoise,0,1,True,True
Bourseulais,Nm,Bourseulaise,0,1,True,True
Boursevillois,Nm,Boursevilloise,0,1,True,True
boursicoteur,Nm,boursicoteuse,0,0,True,True
Boursicotier,Nm,Boursicotière,0,1,True,True
boursicotier,Nm,boursicotière,0,0,True,True
boursier,Nm,boursière,0,0,True,True
boursilleur,Nm,boursilleuse,0,0,True,True
Boursinois,Nm,Boursinoise,0,1,True,True
Boursonnois,Nm,Boursonnoise,0,1,True,True
Bourthois,Nm,Bourthoise,0,1,True,True
Bourvillais,Nm,Bourvillaise,0,1,True,True
Bourycien,Nm,Bourycienne,0,1,True,True
Bousbecquois,Nm,Bousbecquoise,0,1,True,True
Bouscatais,Nm,Bouscataise,0,1,True,True
bousculeur,Nm,bousculeuse,0,0,True,True
bouseux,Nm,bouseuse,0,0,False,True
Bousignacois,Nm,Bousignacoise,0,1,True,True
Bousignien,Nm,Bousignienne,0,1,True,True
bousilleur,Nm,bousilleuse,0,0,True,True
Bousquetain,Nm,Bousquetainne,0,1,True,False
Boussacois,Nm,Boussacoise,0,1,True,True
Boussacquais,Nm,Boussacquaise,0,1,True,True
Boussanien,Nm,Boussanienne,0,1,True,True
Boussaquin,Nm,Boussaquine,0,1,True,True
Boussenacais,Nm,Boussenacaise,0,1,True,True
Bousseron,Nm,Bousseronne,0,1,True,True
Boussiérois,Nm,Boussiéroise,0,1,True,True
Boussinois,Nm,Boussinoise,0,1,True,True
Boussiron,Nm,Boussironne,0,1,True,True
Boussois,Nm,Boussoise,0,1,True,True
Boussutois,Nm,Boussutoise,0,1,True,True
boustifailleur,Nm,boustifailleuse,0,0,True,True
Boustois,Nm,Boustoise,0,1,True,True
Bousvalien,Nm,Bousvalienne,0,1,True,True
Boutancourtien,Nm,Boutancourtienne,0,1,True,True
bouteillier,Nm,bouteillière,0,0,True,True
Boutenacais,Nm,Boutenacaise,0,1,True,True
Boutenacois,Nm,Boutenacoise,0,1,True,True
Boutervillierais,Nm,Boutervillieraise,0,1,True,True
Boutevillien,Nm,Boutevillienne,0,1,True,True
Boutevillois,Nm,Boutevilloise,0,1,True,True
Boutiérois,Nm,Boutiéroise,0,1,True,True
boutillier,Nm,boutillière,0,0,True,True
Boutipracien,Nm,Boutipracienne,0,1,True,True
boutiquier,Nm,boutiquière,0,0,True,True
Boutonnais,Nm,Boutonnaise,0,1,True,True
boutonneux,Nm,boutonneuse,0,0,False,True
boutonnier,Nm,boutonnière,0,0,True,True
Bouttencourtois,Nm,Bouttencourtoise,0,1,True,True
Boutxois,Nm,Boutxoise,0,1,True,True
Bouvaincourtois,Nm,Bouvaincourtoise,0,1,True,True
Bouvancourtois,Nm,Bouvancourtoise,0,1,True,True
Bouvelinghémois,Nm,Bouvelinghémoise,0,1,True,True
Bouverisois,Nm,Bouverisoise,0,1,True,True
Bouvessard,Nm,Bouvessarde,0,1,True,True
bouveteur,Nm,bouveteuse,0,0,True,True
bouvier,Nm,bouvière,0,0,True,True
Bouviérois,Nm,Bouviéroise,0,1,True,True
Bouvignien,Nm,Bouvignienne,0,1,True,True
Bouvignois,Nm,Bouvignoise,0,1,True,True
Bouvillais,Nm,Bouvillaise,0,1,True,True
Bouvillois,Nm,Bouvilloise,0,1,True,True
Bouvillon,Nm,Bouvillonne,0,1,True,True
bouvillon,Nm,génisse,0,0,True,False
Bouvinois,Nm,Bouvinoise,0,1,True,True
Bouvronnais,Nm,Bouvronnaise,0,1,True,True
Bouxièrois,Nm,Bouxièroise,0,1,True,True
Bouxiérois,Nm,Bouxiéroise,0,1,True,True
Bouxois,Nm,Bouxoise,0,1,True,True
Bouxwillerois,Nm,Bouxwilleroise,0,1,True,True
Bouyard,Nm,Bouyarde,0,1,True,True
Bouyonnais,Nm,Bouyonnaise,0,1,True,True
Bouyssounais,Nm,Bouyssounaise,0,1,True,True
Bouzancourtois,Nm,Bouzancourtoise,0,1,True,True
Bouzanvillois,Nm,Bouzanvilloise,0,1,True,True
Bouzard,Nm,Bouzarde,0,1,True,True
Bouzellois,Nm,Bouzelloise,0,1,True,True
Bouzemontois,Nm,Bouzemontoise,0,1,True,True
Bouzeronnais,Nm,Bouzeronnaise,0,1,True,True
Bouzetois,Nm,Bouzetoise,0,1,True,True
Bouzicois,Nm,Bouzicoise,0,1,True,True
Bouzillon,Nm,Bouzillonne,0,1,True,True
Bouzincourtois,Nm,Bouzincourtoise,0,1,True,True
Bouzinois,Nm,Bouzinoise,0,1,True,True
Bouzonvillois,Nm,Bouzonvilloise,0,1,True,True
Bovellois,Nm,Bovelloise,0,1,True,True
Bovénien,Nm,Bovénienne,0,1,True,True
Bovessois,Nm,Bovessoise,0,1,True,True
Bovignien,Nm,Bovignienne,0,1,True,True
Bovois,Nm,Bovoise,0,1,True,True
boxeur,Nm,boxeuse,0,0,True,True
boyaudier,Nm,boyaudière,0,0,True,True
Boyavalois,Nm,Boyavaloise,0,1,True,True
boycotteur,Nm,boycotteuse,0,0,True,True
Boyellois,Nm,Boyelloise,0,1,True,True
Bozacien,Nm,Bozacienne,0,1,True,True
Bozelain,Nm,Bozelaine,0,1,True,True
Bozoulais,Nm,Bozoulaise,0,1,True,True
Brabançon,Nm,Brabançonne,0,1,True,True
brabançon,Nm,brabançonne,0,0,True,True
Brabantais,Nm,Brabantaise,0,1,True,True
Brachetais,Nm,Brachetaise,0,1,True,True
Brachois,Nm,Brachoise,0,1,True,True
brachygraphe,Nm,brachygraphe,1,0,True,True
Bracilien,Nm,Bracilienne,0,1,True,True
Braclois,Nm,Bracloise,0,1,True,True
braconnier,Nm,braconnière,0,0,True,True
Bracourtuitais,Nm,Bracourtuitaise,0,1,True,True
Bracquegnierois,Nm,Bracquegnieroise,0,1,True,True
Bracquemontais,Nm,Bracquemontaise,0,1,True,True
bradeur,Nm,bradeuse,0,0,True,True
Bragard,Nm,Bragarde,0,1,True,True
bragard,Nm,bragarde,0,0,True,True
Bragassarguois,Nm,Bragassarguoise,0,1,True,True
Bragayracais,Nm,Bragayracaise,0,1,True,True
Bragnotin,Nm,Bragnotine,0,1,True,True
Braibantois,Nm,Braibantoise,0,1,True,True
Braillannais,Nm,Braillannaise,0,1,True,True
braillard,Nm,braillarde,0,0,True,True
brailleur,Nm,brailleuse,0,0,True,True
Brainnois,Nm,Brainnoise,0,1,True,True
Brainois,Nm,Brainoise,0,1,True,True
Brainvillois,Nm,Brainvilloise,0,1,True,True
Brairien,Nm,Brairienne,0,1,True,True
braiseux,Nm,braiseuse,0,0,False,True
Braivois,Nm,Braivoise,0,1,True,True
Braizois,Nm,Braizoise,0,1,True,True
Brallevillois,Nm,Brallevilloise,0,1,True,True
Bramais,Nm,Bramaise,0,1,True,True
Bramanais,Nm,Bramanaise,0,1,True,True
Brametotais,Nm,Brametotaise,0,1,True,True
brancardier,Nm,brancardière,0,0,True,True
Branceillais,Nm,Branceillaise,0,1,True,True
Branchois,Nm,Branchoise,0,1,True,True
Branchonnais,Nm,Branchonnaise,0,1,True,True
Brancourtois,Nm,Brancourtoise,0,1,True,True
Brandanais,Nm,Brandanaise,0,1,True,True
Branderionnais,Nm,Branderionnaise,0,1,True,True
Brandevillois,Nm,Brandevilloise,0,1,True,True
brandevinier,Nm,brandevinière,0,0,True,True
brandisseur,Nm,brandisseuse,0,0,True,True
Brandonissien,Nm,Brandonissienne,0,1,True,True
Brandonnais,Nm,Brandonnaise,0,1,True,True
Brandonnetois,Nm,Brandonnetoise,0,1,True,True
Brangeois,Nm,Brangeoise,0,1,True,True
Branguois,Nm,Branguoise,0,1,True,True
Branichapellois,Nm,Branichapelloise,0,1,True,True
branleur,Nm,branleuse,0,0,True,True
Brannais,Nm,Brannaise,0,1,True,True
Brannaysien,Nm,Brannaysienne,0,1,True,True
Brannois,Nm,Brannoise,0,1,True,True
Branoussien,Nm,Branoussienne,0,1,True,True
Bransatois,Nm,Bransatoise,0,1,True,True
Branscourtois,Nm,Branscourtoise,0,1,True,True
Bransledais,Nm,Bransledaise,0,1,True,True
Brantômais,Nm,Brantômaise,0,1,True,True
Brantulois,Nm,Brantuloise,0,1,True,True
Branvillais,Nm,Branvillaise,0,1,True,True
braqueur,Nm,braqueuse,0,0,True,True
Brascois,Nm,Brascoise,0,1,True,True
Brasieux,Nm,Brasieuse,0,1,False,True
Brasilien,Nm,Brasilienne,0,1,True,True
Braslois,Nm,Brasloise,0,1,True,True
Brasménilois,Nm,Brasméniloise,0,1,True,True
Brassacais,Nm,Brassacaise,0,1,True,True
Brassacois,Nm,Brassacoise,0,1,True,True
Brassagais,Nm,Brassagaise,0,1,True,True
Brassempouyais,Nm,Brassempouyaise,0,1,True,True
brasseur,Nm,brasseuse,0,0,True,True
Brassois,Nm,Brassoise,0,1,True,True
Brassycois,Nm,Brassycoise,0,1,True,True
Brauxien,Nm,Brauxienne,0,1,True,True
Brauxois,Nm,Brauxoise,0,1,True,True
Braxien,Nm,Braxienne,0,1,True,True
Braxois,Nm,Braxoise,0,1,True,True
Bray-Dunois,Nm,Bray-Dunoise,0,1,True,True
Brayard,Nm,Brayarde,0,1,True,True
Braylois,Nm,Brayloise,0,1,True,True
Braylusien,Nm,Braylusienne,0,1,True,True
Brayois,Nm,Brayoise,0,1,True,True
Brayon,Nm,Brayonne,0,1,True,True
Braytois,Nm,Braytoise,0,1,True,True
Bréalais,Nm,Bréalaise,0,1,True,True
Bréançonnais,Nm,Bréançonnaise,0,1,True,True
Bréautais,Nm,Bréautaise,0,1,True,True
Bréautin,Nm,Bréautine,0,1,True,True
Brébanais,Nm,Brébanaise,0,1,True,True
Brebiérois,Nm,Brebiéroise,0,1,True,True
Brebottais,Nm,Brebottaise,0,1,True,True
Bréchainvillois,Nm,Bréchainvilloise,0,1,True,True
Bréchampais,Nm,Bréchampaise,0,1,True,True
brèche-dent,Nm,brèche-dent,1,0,True,False
Brechois,Nm,Brechoise,0,1,True,True
brechtien,Nm,brechtienne,0,0,True,True
Brecinquois,Nm,Brecinquoise,0,1,True,True
Bréçois,Nm,Bréçoise,0,1,True,True
Brectouvillais,Nm,Brectouvillaise,0,1,True,True
Brécy-Brièrois,Nm,Brécy-Brièroise,0,1,True,True
Brécylien,Nm,Brécylienne,0,1,True,True
Bredenois,Nm,Bredenoise,0,1,True,True
Brédien,Nm,Brédienne,0,1,True,True
bredin,Nm,bredine,0,0,True,True
Brédois,Nm,Brédoise,0,1,True,True
Brédonnien,Nm,Brédonnienne,0,1,True,True
bredouilleur,Nm,bredouilleuse,0,0,True,True
Bréelois,Nm,Bréeloise,0,1,True,True
Bréhalais,Nm,Bréhalaise,0,1,True,True
Bréhandais,Nm,Bréhandaise,0,1,True,True
Bréhannais,Nm,Bréhannaise,0,1,True,True
Bréhatin,Nm,Bréhatine,0,1,True,True
Bréhémontais,Nm,Bréhémontaise,0,1,True,True
Bréhévillois,Nm,Bréhévilloise,0,1,True,True
Bréhinois,Nm,Bréhinoise,0,1,True,True
Breillard,Nm,Breillarde,0,1,True,True
Breillois,Nm,Breilloise,0,1,True,True
Breistroffois,Nm,Breistroffoise,0,1,True,True
Breitenauvien,Nm,Breitenauvienne,0,1,True,True
Breitenbachois,Nm,Breitenbachoise,0,1,True,True
brejnévien,Nm,brejnévienne,0,0,True,True
brelandier,Nm,brelandière,0,0,True,True
brelandinier,Nm,brelandinière,0,0,True,True
Brélèsien,Nm,Brélèsienne,0,1,True,True
Brélidien,Nm,Brélidienne,0,1,True,True
Bremois,Nm,Bremoise,0,1,True,True
Brêmois,Nm,Brêmoise,0,1,True,True
Brémontois,Nm,Brémontoise,0,1,True,True
Brenacois,Nm,Brenacoise,0,1,True,True
Brenais,Nm,Brenaise,0,1,True,True
Brénais,Nm,Brénaise,0,1,True,True
Brénaissois,Nm,Brénaissoise,0,1,True,True
Brenatois,Nm,Brenatoise,0,1,True,True
Brenellois,Nm,Brenelloise,0,1,True,True
Brengois,Nm,Brengoise,0,1,True,True
Bréniard,Nm,Bréniarde,0,1,True,True
Brennilisien,Nm,Brennilisienne,0,1,True,True
Brennois,Nm,Brennoise,0,1,True,True
Brennovien,Nm,Brennovienne,0,1,True,True
Brénodien,Nm,Brénodienne,0,1,True,True
Brenonais,Nm,Brenonaise,0,1,True,True
Brenouillois,Nm,Brenouilloise,0,1,True,True
Brenoussien,Nm,Brenoussienne,0,1,True,True
Brenthonnois,Nm,Brenthonnoise,0,1,True,True
Bréolais,Nm,Bréolaise,0,1,True,True
Bresdonnien,Nm,Bresdonnienne,0,1,True,True
Brésilien,Nm,Brésilienne,0,1,True,True
brésilien,Nm,brésilienne,0,0,True,True
Breslois,Nm,Bresloise,0,1,True,True
Bresseylien,Nm,Bresseylienne,0,1,True,True
Bressois,Nm,Bressoise,0,1,True,True
Bressolais,Nm,Bressolaise,0,1,True,True
Bressolland,Nm,Bressollande,0,1,True,True
Bressollois,Nm,Bressolloise,0,1,True,True
Bressonnais,Nm,Bressonnaise,0,1,True,True
Bressoutois,Nm,Bressoutoise,0,1,True,True
Bressuirais,Nm,Bressuiraise,0,1,True,True
Brestois,Nm,Brestoise,0,1,True,True
Brestotois,Nm,Brestotoise,0,1,True,True
brétailleur,Nm,brétailleuse,0,0,True,True
Brétaulucien,Nm,Brétaulucienne,0,1,True,True
Breteillais,Nm,Breteillaise,0,1,True,True
Bretenièrais,Nm,Bretenièraise,0,1,True,True
Bretenièrois,Nm,Bretenièroise,0,1,True,True
Bretenouvien,Nm,Bretenouvienne,0,1,True,True
Breteuillois,Nm,Breteuilloise,0,1,True,True
Brethélois,Nm,Brethéloise,0,1,True,True
Brethenaisien,Nm,Brethenaisienne,0,1,True,True
Brethonnois,Nm,Brethonnoise,0,1,True,True
Brétignacien,Nm,Brétignacienne,0,1,True,True
Bretignollais,Nm,Bretignollaise,0,1,True,True
Brétignollais,Nm,Brétignollaise,0,1,True,True
Bretolien,Nm,Bretolienne,0,1,True,True
Breton,Nm,Bretonne,0,1,True,True
breton,Nm,bretonne,0,0,True,True
Bretoncellois,Nm,Bretoncelloise,0,1,True,True
bretonnant,Nm,bretonnante,0,0,True,True
Bretonvillois,Nm,Bretonvilloise,0,1,True,True
Brettain,Nm,Brettaine,0,1,True,True
bretteur,Nm,bretteuse,0,0,True,True
Brettevillais,Nm,Brettevillaise,0,1,True,True
Brettois,Nm,Brettoise,0,1,True,True
Brétuvelier,Nm,Brétuvelière,0,1,True,True
Bretzois,Nm,Bretzoise,0,1,True,True
Breuchin,Nm,Breuchine,0,1,True,True
Breuchottois,Nm,Breuchottoise,0,1,True,True
Breuglien,Nm,Breuglienne,0,1,True,True
Breugnonnais,Nm,Breugnonnaise,0,1,True,True
Breugossois,Nm,Breugossoise,0,1,True,True
Breuil-Bernardin,Nm,Breuil-Bernardine,0,1,True,True
Breuil-le-Secquois,Nm,Breuil-le-Secquoise,0,1,True,True
Breuilaufais,Nm,Breuilaufaise,0,1,True,True
Breuilhois,Nm,Breuilhoise,0,1,True,True
Breuilletais,Nm,Breuilletaise,0,1,True,True
Breuilletois,Nm,Breuilletoise,0,1,True,True
Breuilleton,Nm,Breuilletonne,0,1,True,True
Breuillois,Nm,Breuilloise,0,1,True,True
Breuilpontais,Nm,Breuilpontaise,0,1,True,True
Breuschwickersheimois,Nm,Breuschwickersheimoise,0,1,True,True
Breuvannais,Nm,Breuvannaise,0,1,True,True
Brévainvillois,Nm,Brévainvilloise,0,1,True,True
Brévalairien,Nm,Brévalairienne,0,1,True,True
Brévalois,Nm,Brévaloise,0,1,True,True
Brevannais,Nm,Brevannaise,0,1,True,True
Brévannais,Nm,Brévannaise,0,1,True,True
Brévedentais,Nm,Brévedentaise,0,1,True,True
Brevelais,Nm,Brevelaise,0,1,True,True
brevetaire,Nm,brevetaire,1,0,True,True
Bréviandois,Nm,Bréviandoise,0,1,True,True
brévigraphe,Nm,brévigraphe,1,0,True,True
Brévillais,Nm,Brévillaise,0,1,True,True
Brévillois,Nm,Brévilloise,0,1,True,True
Brévinois,Nm,Brévinoise,0,1,True,True
Brèvois,Nm,Brèvoise,0,1,True,True
Brévonnais,Nm,Brévonnaise,0,1,True,True
Bréxentois,Nm,Bréxentoise,0,1,True,True
Breziérois,Nm,Breziéroise,0,1,True,True
Brézilhacais,Nm,Brézilhacaise,0,1,True,True
Brézinois,Nm,Brézinoise,0,1,True,True
Brézollien,Nm,Brézollienne,0,1,True,True
Briacin,Nm,Briacine,0,1,True,True
Briançonnais,Nm,Briançonnaise,0,1,True,True
Briançonnois,Nm,Briançonnoise,0,1,True,True
Briannois,Nm,Briannoise,0,1,True,True
Briantais,Nm,Briantaise,0,1,True,True
Briarois,Nm,Briaroise,0,1,True,True
Briarrois,Nm,Briarroise,0,1,True,True
Briastrois,Nm,Briastroise,0,1,True,True
Briatextois,Nm,Briatextoise,0,1,True,True
Briaucourtois,Nm,Briaucourtoise,0,1,True,True
bribeur,Nm,briberesse,0,0,True,True
Bricocorcellien,Nm,Bricocorcellienne,0,1,True,True
Briçois,Nm,Briçoise,0,1,True,True
bricoleur,Nm,bricoleuse,0,0,True,True
Bricomtois,Nm,Bricomtoise,0,1,True,True
Briconnais,Nm,Briconnaise,0,1,True,True
Briconvillois,Nm,Briconvilloise,0,1,True,True
Bricquais,Nm,Bricquaise,0,1,True,True
Bricquebétais,Nm,Bricquebétaise,0,1,True,True
Bricquebosais,Nm,Bricquebosaise,0,1,True,True
Bricquevillais,Nm,Bricquevillaise,0,1,True,True
Bricyois,Nm,Bricyoise,0,1,True,True
bridgeur,Nm,bridgeuse,0,0,True,True
Bridoirien,Nm,Bridoirienne,0,1,True,True
Bridois,Nm,Bridoise,0,1,True,True
Briecois,Nm,Briecoise,0,1,True,True
Briellois,Nm,Brielloise,0,1,True,True
Brien,Nm,Brienne,0,1,True,True
Briençais,Nm,Briençaise,0,1,True,True
Briennois,Nm,Briennoise,0,1,True,True
Briennonais,Nm,Briennonaise,0,1,True,True
Brienonnais,Nm,Brienonnaise,0,1,True,True
Brierois,Nm,Brieroise,0,1,True,True
Briéron,Nm,Briéronne,0,1,True,True
Brieullois,Nm,Brieulloise,0,1,True,True
brifeur,Nm,brifeuse,0,0,True,True
brigadier,Nm,brigadière,0,0,True,True
brigadiste,Nm,brigadiste,1,0,True,True
brigantin,Nm,brigantine,0,0,True,True
brigittin,Nm,brigittine,0,0,True,True
Brigittois,Nm,Brigittoise,0,1,True,True
Brignancourtois,Nm,Brignancourtoise,0,1,True,True
Brignemontois,Nm,Brignemontoise,0,1,True,True
Brignoganais,Nm,Brignoganaise,0,1,True,True
Brignolais,Nm,Brignolaise,0,1,True,True
Brignonais,Nm,Brignonaise,0,1,True,True
Brigueillais,Nm,Brigueillaise,0,1,True,True
Brigueillois,Nm,Brigueilloise,0,1,True,True
brigueur,Nm,brigueuse,0,0,True,True
Briissois,Nm,Briissoise,0,1,True,True
Brillachon,Nm,Brillachonne,0,1,True,True
Brillannais,Nm,Brillannaise,0,1,True,True
Brillecourtois,Nm,Brillecourtoise,0,1,True,True
Brillet-Pontin,Nm,Brillet-Pontine,0,1,True,True
Brillonais,Nm,Brillonaise,0,1,True,True
Brillonnais,Nm,Brillonnaise,0,1,True,True
brimeur,Nm,brimeuse,0,0,True,True
Brimeusois,Nm,Brimeusoise,0,1,True,True
Brimontois,Nm,Brimontoise,0,1,True,True
Brinckheimois,Nm,Brinckheimoise,0,1,True,True
Brindasien,Nm,Brindasienne,0,1,True,True
Bringolois,Nm,Bringoloise,0,1,True,True
bringueur,Nm,bringueuse,0,0,True,True
Brinonnais,Nm,Brinonnaise,0,1,True,True
Briochin,Nm,Briochine,0,1,True,True
Briochiste,Nm,Briochiste,1,1,True,True
briochiste,Nm,briochiste,1,0,True,True
Briois,Nm,Brioise,0,1,True,True
Briolais,Nm,Briolaise,0,1,True,True
Brioland,Nm,Briolande,0,1,True,True
Briolin,Nm,Brioline,0,1,True,True
Briollaytain,Nm,Briollaytaine,0,1,True,True
Brion,Nm,Brionne,0,1,True,True
Brionais,Nm,Brionaise,0,1,True,True
Brionnais,Nm,Brionnaise,0,1,True,True
Brionourcien,Nm,Brionourcienne,0,1,True,True
Briotin,Nm,Briotine,0,1,True,True
Brioulais,Nm,Brioulaise,0,1,True,True
Briouxais,Nm,Briouxaise,0,1,True,True
Briouzois,Nm,Briouzoise,0,1,True,True
Briquenaytois,Nm,Briquenaytoise,0,1,True,True
briquetier,Nm,briquetière,0,0,True,True
briseur,Nm,briseuse,0,0,True,True
Brissacois,Nm,Brissacoise,0,1,True,True
Brissarthois,Nm,Brissarthoise,0,1,True,True
brissotin,Nm,brissotine,0,0,True,True
Britanno-Colombien,Nm,Britanno-Colombienne,0,1,True,True
Britulien,Nm,Britulienne,0,1,True,True
Brivadois,Nm,Brivadoise,0,1,True,True
