nm	nf	epicene	proper_noun	catégorie
embrasseur	embrasseuse	0.0	0.0	Nm
émétophile	émétophile	1.0	0.0	Nm
émétophobe	émétophobe	1.0	0.0	Nm
émetteur	émettrice	0.0	0.0	Nm
émeutier	émeutière	0.0	0.0	Nm
émigrant	émigrante	0.0	0.0	Nm
émigré	émigrée	0.0	0.0	Nm
emmailloteur	emmailloteuse	0.0	0.0	Nm
emmerdeur	emmerdeuse	0.0	0.0	Nm
émondeur	émondeuse	0.0	0.0	Nm
émotif	émotive	0.0	0.0	Nm
empailleur	empailleuse	0.0	0.0	Nm
empaleur	empaleuse	0.0	0.0	Nm
empêcheur	empêcheuse	0.0	0.0	Nm
empereur	impératrice	0.0	0.0	Nm
emphysémateux	emphysémateuse	0.0	0.0	Nm
emphytéote	emphytéote	1.0	0.0	Nm
empiéteur	empiéteuse	0.0	0.0	Nm
empileur	empileuse	0.0	0.0	Nm
employé	employée	0.0	0.0	Nm
employeur	employeuse	0.0	0.0	Nm
empoigneur	empoigneuse	0.0	0.0	Nm
empoisonneur	empoisonneuse	0.0	0.0	Nm
emporté	emportée	0.0	0.0	Nm
emprunteur	emprunteuse	0.0	0.0	Nm
émule	émule	1.0	0.0	Nm
énarvé	énarvée	0.0	0.0	Nm
encadrant	encadrante	0.0	0.0	Nm
encadreur	encadreuse	0.0	0.0	Nm
encaisseur	encaisseuse	0.0	0.0	Nm
encatané	encatanée	0.0	0.0	Nm
encenseur	encenseuse	0.0	0.0	Nm
enchanteur	enchanteresse	0.0	0.0	Nm
enchérisseur	enchérisseuse	0.0	0.0	Nm
encolleur	encolleuse	0.0	0.0	Nm
encreur	encreuse	0.0	0.0	Nm
enculé	enculée	0.0	0.0	Nm
enculeur	enculeuse	0.0	0.0	Nm
endocrinologue	endocrinologue	1.0	0.0	Nm
endomorphe	endomorphe	1.0	0.0	Nm
endormeur	endormeuse	0.0	0.0	Nm
endormi	endormie	0.0	0.0	Nm
endosseur	endosseuse	0.0	0.0	Nm
énergéticien	énergéticienne	0.0	0.0	Nm
énergumène	énergumène	1.0	0.0	Nm
enfançon	enfançonne	0.0	0.0	Nm
enfant	enfant	1.0	0.0	Nm
enfileur	enfileuse	0.0	0.0	Nm
enfoiré	enfoirée	0.0	0.0	Nm
enfonceur	enfonceuse	0.0	0.0	Nm
enfumeur	enfumeuse	0.0	0.0	Nm
engagé	engagée	0.0	0.0	Nm
engagiste	engagiste	1.0	0.0	Nm
engendreur	engendreuse	0.0	0.0	Nm
Enghiennois	Enghiennoise	0.0	1.0	Nm
engloutisseur	engloutisseuse	0.0	0.0	Nm
engorgeur	engorgeuse	0.0	0.0	Nm
engourdi	engourdie	0.0	0.0	Nm
enjôleur	enjôleuse	0.0	0.0	Nm
enjoliveur	enjoliveuse	0.0	0.0	Nm
enlumineur	enlumineuse	0.0	0.0	Nm
ennemi	ennemie	0.0	0.0	Nm
énonciateur	énonciatrice	0.0	0.0	Nm
enquêteur	enquêteuse|enquêtrice	0.0	0.0	Nm
enquiquineur	enquiquineuse	0.0	0.0	Nm
enragé	enragée	0.0	0.0	Nm
enregistreur	enregistreuse	0.0	0.0	Nm
enrichisseur	enrichisseuse	0.0	0.0	Nm
enseignant	enseignante	0.0	0.0	Nm
enseignant-chercheur	enseignante-chercheuse	0.0	0.0	Nm
ensemblier	ensemblière	0.0	0.0	Nm
ensevelisseur	ensevelisseuse	0.0	0.0	Nm
ensileur	ensileuse	0.0	0.0	Nm
ensorceleur	ensorceleuse	0.0	0.0	Nm
entarteur	entarteuse	0.0	0.0	Nm
entendant	entendante	0.0	0.0	Nm
entendu	entendue	0.0	0.0	Nm
enterreur	enterreuse	0.0	0.0	Nm
enthousiaste	enthousiaste	1.0	0.0	Nm
entôleur	entôleuse	0.0	0.0	Nm
entomologiste	entomologiste	1.0	0.0	Nm
entraîneur	entraîneuse	0.0	0.0	Nm
Entrainois	Entrainoise	0.0	1.0	Nm
Entraunois	Entraunoise	0.0	1.0	Nm
Entre-Deusien	Entre-Deusienne	0.0	1.0	Nm
Entrecastelain	Entrecastelaine	0.0	1.0	Nm
entremetteur	entremetteuse	0.0	0.0	Nm
entrepositaire	entrepositaire	1.0	0.0	Nm
entrepreneur	entrepreneuse|entrepreneure	0.0	0.0	Nm
entreteneur	entreteneuse	0.0	0.0	Nm
Entrevalais	Entrevalaise	0.0	1.0	Nm
Entrigot	Entrigote	0.0	1.0	Nm
énumérateur	énumératrice	0.0	0.0	Nm
énurétique	énurétique	1.0	0.0	Nm
envahisseur	envahisseuse	0.0	0.0	Nm
enveloppeur	enveloppeuse	0.0	0.0	Nm
envenimeur	envenimeuse	0.0	0.0	Nm
Envermeudois	Envermeudoise	0.0	1.0	Nm
envieux	envieuse	0.0	0.0	Nm
environnementaliste	environnementaliste	1.0	0.0	Nm
envouteur	envouteuse	0.0	0.0	Nm
envoûteur	envoûteuse	0.0	0.0	Nm
envoyé	envoyée	0.0	0.0	Nm
envoyeur	envoyeuse	0.0	0.0	Nm
Envronvillais	Envronvillaise	0.0	1.0	Nm
éonien	éonienne	0.0	0.0	Nm
épargnant	épargnante	0.0	0.0	Nm
épargneur	épargneuse	0.0	0.0	Nm
épateur	épateuse	0.0	0.0	Nm
épaviste	épaviste	1.0	0.0	Nm
Épeignois	Épeignoise	0.0	1.0	Nm
épéiste	épéiste	1.0	0.0	Nm
éperonnier	éperonnière	0.0	0.0	Nm
éphébophile	éphébophile	1.0	0.0	Nm
épicier	épicière	0.0	0.0	Nm
épidémiologiste	épidémiologiste	1.0	0.0	Nm
épieur	épieuse	0.0	0.0	Nm
épigraphiste	épigraphiste	1.0	0.0	Nm
épileptique	épileptique	1.0	0.0	Nm
épileur	épileuse	0.0	0.0	Nm
épilogueur	épilogueuse	0.0	0.0	Nm
Épiniacais	Épiniacaise	0.0	1.0	Nm
Épiscopalien	Épiscopalienne	0.0	1.0	Nm
épiscopalien	épiscopalienne	0.0	0.0	Nm
épistolier	épistolière	0.0	0.0	Nm
éplucheur	éplucheuse	0.0	0.0	Nm
épopte	épopte	1.0	0.0	Nm
épouseur	épouseuse	0.0	0.0	Nm
époux	épouse	0.0	0.0	Nm
épurateur	épuratrice	0.0	0.0	Nm
équarrisseur	équarrisseuse	0.0	0.0	Nm
Équeurdrevillais	Équeurdrevillaise	0.0	1.0	Nm
équilibriste	équilibriste	1.0	0.0	Nm
équipeur	équipeuse	0.0	0.0	Nm
équipier	équipière	0.0	0.0	Nm
érasmisant	érasmisante	0.0	0.0	Nm
Erbiliote	Erbiliote	1.0	1.0	Nm
Erbréen	Erbréenne	0.0	1.0	Nm
Ercéen	Ercéenne	0.0	1.0	Nm
Erdevennois	Erdevennoise	0.0	1.0	Nm
éreinteur	éreinteuse	0.0	0.0	Nm
ergomane	ergomane	1.0	0.0	Nm
ergonome	ergonome	1.0	0.0	Nm
ergoteur	ergoteuse	0.0	0.0	Nm
ergothérapeute	ergothérapeute	1.0	0.0	Nm
Érizien	Érizienne	0.0	1.0	Nm
Ermenouvillais	Ermenouvillaise	0.0	1.0	Nm
ermite	ermite	1.0	0.0	Nm
Ermontois	Ermontoise	0.0	1.0	Nm
Ernemontois	Ernemontoise	0.0	1.0	Nm
érotomane	érotomane	1.0	0.0	Nm
erréphore	erréphore	1.0	0.0	Nm
érudit	érudite	0.0	0.0	Nm
Esblygeois	Esblygeoise	0.0	1.0	Nm
esbroufeur	esbroufeuse	0.0	0.0	Nm
escaladeur	escaladeuse	0.0	0.0	Nm
Escalanais	Escalanaise	0.0	1.0	Nm
escamoteur	escamoteuse	0.0	0.0	Nm
escarbillard	escarbillarde	0.0	0.0	Nm
Escarénois	Escarénoise	0.0	1.0	Nm
esclavagiste	esclavagiste	1.0	0.0	Nm
esclave	esclave	1.0	0.0	Nm
esclavon	esclavone|esclavonne	0.0	0.0	Nm
escompteur	escompteuse	0.0	0.0	Nm
Escorpinois	Escorpinoise	0.0	1.0	Nm
Escourçois	Escourçoise	0.0	1.0	Nm
Escovien	Escovienne	0.0	1.0	Nm
Escragnollois	Escragnolloise	0.0	1.0	Nm
escrimeur	escrimeuse	0.0	0.0	Nm
escroc	escroc	1.0	0.0	Nm
escroqueur	escroqueuse	0.0	0.0	Nm
Esmanais	Esmanaise	0.0	1.0	Nm
Esnandais	Esnandaise	0.0	1.0	Nm
ésophore	ésophore	1.0	0.0	Nm
ésotériste	ésotériste	1.0	0.0	Nm
espagnol	espagnole	0.0	0.0	Nm
espagnoliste	espagnoliste	1.0	0.0	Nm
espérantiste	espérantiste	1.0	0.0	Nm
espérantophile	espérantophile	1.0	0.0	Nm
espérantophobe	espérantophobe	1.0	0.0	Nm
espérantophone	espérantophone	1.0	0.0	Nm
espion	espionne	0.0	0.0	Nm
Esquimau	Esquimaude	0.0	1.0	Nm
esquimau	esquimaude	0.0	0.0	Nm
essayeur	essayeuse	0.0	0.0	Nm
essayiste	essayiste	1.0	0.0	Nm
Esséen	Esséenne	0.0	1.0	Nm
essuyeur	essuyeuse	0.0	0.0	Nm
esthète	esthète	1.0	0.0	Nm
esthéticien	esthéticienne	0.0	0.0	Nm
estivant	estivante	0.0	0.0	Nm
Estonien	Estonienne	0.0	1.0	Nm
estonien	estonienne	0.0	0.0	Nm
estropiat	estropiate	0.0	0.0	Nm
étalagiste	étalagiste	1.0	0.0	Nm
étaleur	étaleuse	0.0	0.0	Nm
étalier	étalière	0.0	0.0	Nm
étalon	jument	0.0	0.0	Nm
étalonnier	étalonnière	0.0	0.0	Nm
étameur	étameuse	0.0	0.0	Nm
étancheur	étancheuse	0.0	0.0	Nm
éteigneur	éteigneuse	0.0	0.0	Nm
éthicien	éthicienne	0.0	0.0	Nm
éthiopien	éthiopienne	0.0	0.0	Nm
ethniciste	ethniciste	1.0	0.0	Nm
ethnobotaniste	ethnobotaniste	1.0	0.0	Nm
ethnocidaire	ethnocidaire	1.0	0.0	Nm
ethnographe	ethnographe	1.0	0.0	Nm
ethnologue	ethnologue	1.0	0.0	Nm
ethnopsychiatre	ethnopsychiatre	1.0	0.0	Nm
éthologue	éthologue	1.0	0.0	Nm
éthylique	éthylique	1.0	0.0	Nm
étique	étique	1.0	0.0	Nm
étiqueteur	étiqueteuse	0.0	0.0	Nm
étireur	étireuse	0.0	0.0	Nm
étouffeur	étouffeuse	0.0	0.0	Nm
étourdi	étourdie	0.0	0.0	Nm
étourdisseur	étourdisseur	1.0	0.0	Nm
étranger	étrangère	0.0	0.0	Nm
étrangleur	étrangleuse	0.0	0.0	Nm
étudiant	étudiante	0.0	0.0	Nm
étuveur	étuveuse	0.0	0.0	Nm
étymologiste	étymologiste	1.0	0.0	Nm
eugéniste	eugéniste	1.0	0.0	Nm
Eurabien	Eurabienne	0.0	1.0	Nm
eurasien	eurasienne	0.0	0.0	Nm
eurodéputé	eurodéputée	0.0	0.0	Nm
Européen	Européenne	0.0	1.0	Nm
européen	européenne	0.0	0.0	Nm
europessimiste	europessimiste	1.0	0.0	Nm
europhone	europhone	1.0	0.0	Nm
europhorique	europhorique	1.0	0.0	Nm
eurosceptique	eurosceptique	1.0	0.0	Nm
euscarien	euscarienne	0.0	0.0	Nm
évadé	évadée	0.0	0.0	Nm
évaporé	évaporée	0.0	0.0	Nm
éveilleur	éveilleuse	0.0	0.0	Nm
éventailliste	éventailliste	1.0	0.0	Nm
éventé	éventée	0.0	0.0	Nm
éventreur	éventreuse	0.0	0.0	Nm
évêque	évêque	1.0	0.0	Nm
éviteur	éviteuse	0.0	0.0	Nm
évocateur	évocatrice|évocateuse	0.0	0.0	Nm
ex	ex	1.0	0.0	Nm
ex-député	ex-députée	0.0	0.0	Nm
exacteur	exactrice	0.0	0.0	Nm
exagérateur	exagératrice	0.0	0.0	Nm
exalté	exaltée	0.0	0.0	Nm
examinateur	examinatrice|examinateuse	0.0	0.0	Nm
excentrique	excentrique	1.0	0.0	Nm
Excideuillais	Excideuillaise	0.0	1.0	Nm
exciseur	exciseuse	0.0	0.0	Nm
excitateur	excitatrice	0.0	0.0	Nm
exclu	exclue	0.0	0.0	Nm
exclusiviste	exclusiviste	1.0	0.0	Nm
excursionniste	excursionniste	1.0	0.0	Nm
exécutant	exécutante	0.0	0.0	Nm
exécuteur	exécutrice|exécuteuse	0.0	0.0	Nm
exégète	exégète	1.0	0.0	Nm
exhibitionniste	exhibitionniste	1.0	0.0	Nm
exilé	exilée	0.0	0.0	Nm
exophore	exophore	1.0	0.0	Nm
exorciste	exorciste	1.0	0.0	Nm
exotique	exotique	1.0	0.0	Nm
expatrié	expatriée	0.0	0.0	Nm
expéditeur	expéditrice|expéditeuse	0.0	0.0	Nm
expérimentaliste	expérimentaliste	1.0	0.0	Nm
expérimentateur	expérimentatrice|expérimentateuse	0.0	0.0	Nm
expert	experte	0.0	0.0	Nm
explicateur	explicatrice	0.0	0.0	Nm
exploitant	exploitante	0.0	0.0	Nm
exploitateur	exploitatrice	0.0	0.0	Nm
exploiteur	exploiteuse	0.0	0.0	Nm
explorateur	exploratrice	0.0	0.0	Nm
exportateur	exportatrice	0.0	0.0	Nm
exposant	exposante	0.0	0.0	Nm
expropriateur	expropriatrice	0.0	0.0	Nm
exproprié	expropriée	0.0	0.0	Nm
extatique	extatique	1.0	0.0	Nm
exténuateur	exténuatrice	0.0	0.0	Nm
exterminateur	exterminatrice	0.0	0.0	Nm
extincteur	extinctrice	0.0	0.0	Nm
extirpateur	extirpatrice|extirpateuse	0.0	0.0	Nm
extorqueur	extorqueuse	0.0	0.0	Nm
extra	extra	1.0	0.0	Nm
extralucide	extralucide	1.0	0.0	Nm
extraordinaire	extraordinaire	1.0	0.0	Nm
extraparlementaire	extraparlementaire	1.0	0.0	Nm
extraterrestre	extraterrestre	1.0	0.0	Nm
extravagant	extravagante	0.0	0.0	Nm
extraverti	extravertie	0.0	0.0	Nm
extravertisseur	extravertisseuse	0.0	0.0	Nm
extrémiste	extrémiste	1.0	0.0	Nm
Fabréguois	Fabréguoise	0.0	1.0	Nm
fabricant	fabricante	0.0	0.0	Nm
fabricateur	fabricatrice	0.0	0.0	Nm
fabulateur	fabulatrice	0.0	0.0	Nm
fabuliste	fabuliste	1.0	0.0	Nm
face	face	1.0	0.0	Nm
fâcheux	fâcheuse	0.0	0.0	Nm
facilitateur	facilitatrice	0.0	0.0	Nm
façonneur	façonneuse	0.0	0.0	Nm
façonnier	façonnière	0.0	0.0	Nm
facteur	factrice	0.0	0.0	Nm
factieux	factieuse	0.0	0.0	Nm
factotum	factotum	1.0	0.0	Nm
facturier	facturière	0.0	0.0	Nm
fada	fada	1.0	0.0	Nm
fadiste	fadiste	1.0	0.0	Nm
Fagien	Fagienne	0.0	1.0	Nm
fagoteur	fagoteuse	0.0	0.0	Nm
faiblard	faiblarde	0.0	0.0	Nm
faible	faible	1.0	0.0	Nm
faïencier	faïencière	0.0	0.0	Nm
failli	faillie	0.0	0.0	Nm
fainéant	fainéante	0.0	0.0	Nm
faisan	faisane	0.0	0.0	Nm
faisandier	faisandière	0.0	0.0	Nm
faiseur	faiseuse	0.0	0.0	Nm
Falairot	Falairotte	0.0	1.0	Nm
Falconien	Falconienne	0.0	1.0	Nm
Fallencourtois	Fallencourtoise	0.0	1.0	Nm
falsificateur	falsificatrice	0.0	0.0	Nm
famélique	famélique	1.0	0.0	Nm
familier	familière	0.0	0.0	Nm
fanatique	fanatique	1.0	0.0	Nm
fanboy	fangirl	0.0	0.0	Nm
faneur	faneuse	0.0	0.0	Nm
fanfaron	fanfaronne	0.0	0.0	Nm
fanfrelucheur	fanfrelucheuse	0.0	0.0	Nm
Fanlacois	Fanlacoise	0.0	1.0	Nm
Faouëtien	Faouëtienne	0.0	1.0	Nm
Faranchin	Faranchine	0.0	1.0	Nm
farandoleur	farandoleuse	0.0	0.0	Nm
faraud	faraude	0.0	0.0	Nm
farceur	farceuse	0.0	0.0	Nm
farfelu	farfelue	0.0	0.0	Nm
farfouilleur	farfouilleuse	0.0	0.0	Nm
Fargien	Fargienne	0.0	1.0	Nm
Fargussien	Fargussienne	0.0	1.0	Nm
farinier	farinière	0.0	0.0	Nm
fashionable	fashionable	1.0	0.0	Nm
fat	fate	0.0	0.0	Nm
fataliste	fataliste	1.0	0.0	Nm
Fatinois	Fatinoise	0.0	1.0	Nm
fatrassier	fatrassière	0.0	0.0	Nm
fauché	fauchée	0.0	0.0	Nm
faucheur	faucheuse	0.0	0.0	Nm
fauconnier	fauconnière	0.0	0.0	Nm
faune	faunesse	0.0	0.0	Nm
faussaire	faussaire	1.0	0.0	Nm
fauteur	fautrice|fauteuse	0.0	0.0	Nm
Fauvillais	Fauvillaise	0.0	1.0	Nm
faux-jeton	faux-jeton	1.0	0.0	Nm
faux-monnayeur	fausse-monnayeuse	0.0	0.0	Nm
faux-saunier	faux-saunière	0.0	0.0	Nm
Favergien	Favergienne	0.0	1.0	Nm
Faviérois	Faviéroise	0.0	1.0	Nm
favori	favorite	0.0	0.0	Nm
Favrilois	Favriloise	0.0	1.0	Nm
Fayençois	Fayençoise	0.0	1.0	Nm
féal	féale	0.0	0.0	Nm
fébricitant	fébricitante	0.0	0.0	Nm
Fécampois	Fécampoise	0.0	1.0	Nm
féetaud	fée	0.0	0.0	Nm
Fégréacais	Fégréacaise	0.0	1.0	Nm
feinteur	feinteuse	0.0	0.0	Nm
fellateur	fellatrice|fellateuse	0.0	0.0	Nm
Felonais	Felonaise	0.0	1.0	Nm
féministe	féministe	1.0	0.0	Nm
fendeur	fendeuse	0.0	0.0	Nm
ferblantier	ferblantière	0.0	0.0	Nm
Fercéen	Fercéenne	0.0	1.0	Nm
Féringien	Féringienne	0.0	1.0	Nm
Fermanvillais	Fermanvillaise	0.0	1.0	Nm
Fermetois	Fermetoise	0.0	1.0	Nm
fermier	fermière	0.0	0.0	Nm
Férois	Féroise	0.0	1.0	Nm
Ferralais	Ferralaise	0.0	1.0	Nm
Ferrarais	Ferraraise	0.0	1.0	Nm
Ferriérois	Ferriéroise	0.0	1.0	Nm
ferriste	ferriste	1.0	0.0	Nm
Ferrois	Ferroise	0.0	1.0	Nm
ferronnier	ferronnière	0.0	0.0	Nm
ferrovipathe	ferrovipathe	1.0	0.0	Nm
Ferruccien	Ferruccienne	0.0	1.0	Nm
Fertésien	Fertésienne	0.0	1.0	Nm
fesseur	fesseuse	0.0	0.0	Nm
Festalinois	Festalinoise	0.0	1.0	Nm
festivalier	festivalière	0.0	0.0	Nm
fêtard	fêtarde	0.0	0.0	Nm
feudiste	feudiste	1.0	0.0	Nm
feuillagiste	feuillagiste	1.0	0.0	Nm
feutier	feutière	0.0	0.0	Nm
feutrier	feutrière	0.0	0.0	Nm
fiancé	fiancée	0.0	0.0	Nm
fidéiste	fidéiste	1.0	0.0	Nm
fidèle	fidèle	1.0	0.0	Nm
Fidésien	Fidésienne	0.0	1.0	Nm
fiduciaire	fiduciaire	1.0	0.0	Nm
fiévreux	fiévreuse	0.0	0.0	Nm
fignoleur	fignoleuse	0.0	0.0	Nm
figurant	figurante	0.0	0.0	Nm
filandier	filandière	0.0	0.0	Nm
filateur	filatrice	0.0	0.0	Nm
fileur	fileuse	0.0	0.0	Nm
filleul	filleule	0.0	0.0	Nm
filou	filoute	0.0	0.0	Nm
fils	fille	0.0	0.0	Nm
fin	fine	0.0	0.0	Nm
financeur	financeuse	0.0	0.0	Nm
financier	financière	0.0	0.0	Nm
finasseur	finasseuse	0.0	0.0	Nm
finassier	finassière	0.0	0.0	Nm
finaud	finaude	0.0	0.0	Nm
Finésien	Finésienne	0.0	1.0	Nm
finlandais	finlandaise	0.0	0.0	Nm
Finnois	Finnoise	0.0	1.0	Nm
finnois	finnoise	0.0	0.0	Nm
finnophone	finnophone	1.0	0.0	Nm
Fismois	Fismoise	0.0	1.0	Nm
fisteur	fisteuse	0.0	0.0	Nm
fixeur	fixeuse	0.0	0.0	Nm
fixiste	fixiste	1.0	0.0	Nm
Flacourtois	Flacourtoise	0.0	1.0	Nm
flagellant	flagellante	0.0	0.0	Nm
flagellateur	flagellatrice	0.0	0.0	Nm
flagorneur	flagorneuse	0.0	0.0	Nm
flaireur	flaireuse	0.0	0.0	Nm
flamand	flamande	0.0	0.0	Nm
flambeur	flambeuse	0.0	0.0	Nm
flamingant	flamingante	0.0	0.0	Nm
flamiste	flamiste	1.0	0.0	Nm
flâneur	flâneuse	0.0	0.0	Nm
Flassanais	Flassanaise	0.0	1.0	Nm
flatteur	flatteuse	0.0	0.0	Nm
Flavignien	Flavignienne	0.0	1.0	Nm
Fléchois	Fléchoise	0.0	1.0	Nm
fleiste	fleiste	1.0	0.0	Nm
flemmard	flemmarde	0.0	0.0	Nm
Flérien	Flérienne	0.0	1.0	Nm
fletiste	fletiste	1.0	0.0	Nm
Flétois	Flétoise	0.0	1.0	Nm
flétrisseur	flétrisseuse	0.0	0.0	Nm
fleurettiste	fleurettiste	1.0	0.0	Nm
Fleurignéen	Fleurignéenne	0.0	1.0	Nm
fleuriste	fleuriste	1.0	0.0	Nm
Fleuryssois	Fleuryssoise	0.0	1.0	Nm
Flexanvillois	Flexanvilloise	0.0	1.0	Nm
flirteur	flirteuse	0.0	0.0	Nm
Flixecourtois	Flixecourtoise	0.0	1.0	Nm
Flocquais	Flocquaise	0.0	1.0	Nm
Floracois	Floracoise	0.0	1.0	Nm
Florensacois	Florensacoise	0.0	1.0	Nm
florentin	florentine	0.0	0.0	Nm
floriculteur	floricultrice	0.0	0.0	Nm
Florimontois	Florimontoise	0.0	1.0	Nm
floueur	floueuse	0.0	0.0	Nm
flûteur	flûteuse	0.0	0.0	Nm
flûtiste	flûtiste	1.0	0.0	Nm
Foeillais	Foeillaise	0.0	1.0	Nm
folasse	folasse	1.0	0.0	Nm
folkloriste	folkloriste	1.0	0.0	Nm
Follainvillois	Follainvilloise	0.0	1.0	Nm
follet	follette	0.0	0.0	Nm
followeur	followeuse	0.0	0.0	Nm
fomblard	fomblarde	0.0	0.0	Nm
fomentateur	fomentatrice	0.0	0.0	Nm
fonceur	fonceuse	0.0	0.0	Nm
Fonchois	Fonchoise	0.0	1.0	Nm
fonctionnaire	fonctionnaire	1.0	0.0	Nm
fondateur	fondatrice|fondateuse	0.0	0.0	Nm
fondeur	fondeuse	0.0	0.0	Nm
Fongueusemarais	Fongueusemaraise	0.0	1.0	Nm
Fontainien	Fontainienne	0.0	1.0	Nm
fontainier	fontainière	0.0	0.0	Nm
Fontanien	Fontanienne	0.0	1.0	Nm
Fontenaisien	Fontenaisienne	0.0	1.0	Nm
Fontenellois	Fontenelloise	0.0	1.0	Nm
Fontigeorgien	Fontigeorgienne	0.0	1.0	Nm
footballeur	footballeuse	0.0	0.0	Nm
footeux	footeuse	0.0	0.0	Nm
forain	foraine	0.0	0.0	Nm
Forbachois	Forbachoise	0.0	1.0	Nm
Forcalquiéren	Forcalquiérenne	0.0	1.0	Nm
forcené	forcenée	0.0	0.0	Nm
forceur	forceuse	0.0	0.0	Nm
Forestain	Forestaine	0.0	1.0	Nm
forestier	forestière	0.0	0.0	Nm
Forestois	Forestoise	0.0	1.0	Nm
Forfrysien	Forfrysienne	0.0	1.0	Nm
forgeron	forgeronne	0.0	0.0	Nm
forgeur	forgeuse	0.0	0.0	Nm
formateur	formatrice|formateuse	0.0	0.0	Nm
fornicateur	fornicatrice|fornicateuse	0.0	0.0	Nm
forumeur	forumeuse	0.0	0.0	Nm
fossoyeur	fossoyeuse	0.0	0.0	Nm
fou	folle	0.0	0.0	Nm
fouacier	fouacière	0.0	0.0	Nm
foudre	foudre	1.0	0.0	Nm
fouetteur	fouetteuse	0.0	0.0	Nm
fouilleur	fouilleuse	0.0	0.0	Nm
fouin	fouine	0.0	0.0	Nm
fouineur	fouineuse	0.0	0.0	Nm
fouisseur	fouisseuse	0.0	0.0	Nm
fourbe	fourbe	1.0	0.0	Nm
fouriériste	fouriériste	1.0	0.0	Nm
fournier	fournière	0.0	0.0	Nm
fournisseur	fournisseuse	0.0	0.0	Nm
fourreur	fourreuse	0.0	0.0	Nm
fouteur	fouteuse	0.0	0.0	Nm
foutraque	foutraque	1.0	0.0	Nm
frais	fraîche	0.0	0.0	Nm
fraisiculteur	fraisicultrice	0.0	0.0	Nm
franc-maçon	franc-maçonne	0.0	0.0	Nm
français	française	0.0	0.0	Nm
franchisé	franchisée	0.0	0.0	Nm
francisant	francisante	0.0	0.0	Nm
Franco-Algérien	Franco-Algérienne	0.0	1.0	Nm
Franco-Allemand	Franco-Allemande	0.0	1.0	Nm
Franco-Anglais	Franco-Anglaise	0.0	1.0	Nm
Franco-Autrichien	Franco-Autrichienne	0.0	1.0	Nm
Franco-Belge	Franco-Belge	1.0	1.0	Nm
Franco-Botswanais	Franco-Botswanaise	0.0	1.0	Nm
Franco-Canadien	Franco-Canadienne	0.0	1.0	Nm
Franco-Chinois	Franco-Chinoise	0.0	1.0	Nm
Franco-Égyptien	Franco-Égyptienne	0.0	1.0	Nm
Franco-Espagnol	Franco-Espagnole	0.0	1.0	Nm
Franco-Éthiopien	Franco-Éthiopienne	0.0	1.0	Nm
Franco-Fidjien	Franco-Fidjienne	0.0	1.0	Nm
Franco-Hondurien	Franco-Hondurienne	0.0	1.0	Nm
Franco-Japonais	Franco-Japonaise	0.0	1.0	Nm
Franco-Kazakh	Franco-Kazakhe	0.0	1.0	Nm
Franco-Kenyan	Franco-Kenyane	0.0	1.0	Nm
Franco-Libyen	Franco-Libyenne	0.0	1.0	Nm
Franco-Liechtensteinois	Franco-Liechtensteinoise	0.0	1.0	Nm
Franco-Luxembourgeois	Franco-Luxembourgeoise	0.0	1.0	Nm
Franco-Malawite	Franco-Malawite	1.0	1.0	Nm
Franco-Mauritanien	Franco-Mauritanienne	0.0	1.0	Nm
Franco-Monégasque	Franco-Monégasque	1.0	1.0	Nm
Franco-Mongol	Franco-Mongole	0.0	1.0	Nm
Franco-Monténégrin	Franco-Monténégrine	0.0	1.0	Nm
Franco-Ouzbek	Franco-Ouzbèke	0.0	1.0	Nm
Franco-Polonais	Franco-Polonaise	0.0	1.0	Nm
Franco-Somalien	Franco-Somalienne	0.0	1.0	Nm
Franco-Soudanais	Franco-Soudanaise	0.0	1.0	Nm
Franco-Suisse	Franco-Suisse	1.0	1.0	Nm
Franco-Surinamien	Franco-Surinamienne	0.0	1.0	Nm
Franco-Swazilandais	Franco-Swazilandaise	0.0	1.0	Nm
Franco-Tchadien	Franco-Tchadienne	0.0	1.0	Nm
Franco-Tibétain	Franco-Tibétaine	0.0	1.0	Nm
Franco-Tongien	Franco-Tongienne	0.0	1.0	Nm
Franco-Turkmène	Franco-Turkmène	1.0	1.0	Nm
Franco-Uruguayen	Franco-Uruguayenne	0.0	1.0	Nm
Franco-Yéménite	Franco-Yéménite	1.0	1.0	Nm
francocentriste	francocentriste	1.0	0.0	Nm
francophone	francophone	1.0	0.0	Nm
frangeur	frangeuse	0.0	0.0	Nm
frangin	frangine	0.0	0.0	Nm
fransquillon	fransquillonne	0.0	0.0	Nm
frappeur	frappeuse	0.0	0.0	Nm
fraudeur	fraudeuse	0.0	0.0	Nm
freelance	freelance	1.0	0.0	Nm
frelateur	frelateuse	0.0	0.0	Nm
frénétique	frénétique	1.0	0.0	Nm
frère	sœur	0.0	0.0	Nm
fréteur	fréteuse	0.0	0.0	Nm
fricasseur	fricasseuse	0.0	0.0	Nm
fricoteur	fricoteuse	0.0	0.0	Nm
frimeur	frimeuse	0.0	0.0	Nm
fripier	fripière	0.0	0.0	Nm
fripon	friponne	0.0	0.0	Nm
frisé	frisée	0.0	0.0	Nm
friseur	friseuse	0.0	0.0	Nm
frison	frisonne	0.0	0.0	Nm
friteur	friteuse	0.0	0.0	Nm
friturier	friturière	0.0	0.0	Nm
frivoliste	frivoliste	1.0	0.0	Nm
