Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
délégataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,à qui l'on délègue quelque chose,,CS
démagogue,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,"qui flatte les masses pour gagner et exploiter leur faveur
",,CS
déménageur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,qui fait des déménagements,,CS
démissionnaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,,qui vient de donner sa démission,,CS
démographe,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,qui est spécialiste de démographie,,CS
démonomane,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,qui est atteint de démonomanie,,CS
dentellier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,qui fait de la dentelle,,CS
déontologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Qui est spécialiste de déontologie,,CS
dermatologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Qui est spécialiste en dermatologie,,CS
descendeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,qui participe à une course de descente,,CS
designer,,,,,V,NP,,C,Emprunt,er,N d'Agent,N de Spécialité,Qui conçoit en utilisant les méthodes du design,,CS
destinataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,à qui s'adresse un envoi,,CS
détective,,,,,E,NP,,C,Emprunt,NP,N d'Agent,N de Profession ,Qui est chargé d'enquêtes policières (privées),,CS
détracteur,,,,,V,NP,détracteur/détractrice,C,Emprunt,NP,N d'Agent,,"Qui cherche à rabaisser le mérite de qqn, la valeur de qqch.
",,CS
développeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,qui développe un film,,CS
devin,,,,,M,NP,,NC,NP,NP,N d'Agent,N d’Interprète,"qui prétend découvrir ce qui est caché, prédire l'avenir par des moyens qui ne relèvent pas d'une connaissance naturelle ou ordinaire
",,CS
devineur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Qualité morale,"qui, par intuition ou conjecture, devine quelque chose avec assez de facilité",,CS
diamantaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Profession ,"qui taille, vend les diamants",,CS
dictionnariste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,qui est auteur de dictionnaire,,CS
diplomate,,,,,E,NP,,NC,Dérivation,NP,N d'Agent,N de Fonction,"qui est chargée par un gouvernement de fonctions diplomatiques, de représenter son pays ou de négocier avec les gouvernements étrangers
",,CS
disc-jockey,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Profession ,"qui choisit et présente le programme musical (d'une discothèque, d'une soirée)
",,CS
discutailleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,qui discute à propos de tout,,CS
disputant,,,,,M,-/-e,,C,Dérivation,ant,N d'Agent,,Qui tient un débat contradictoire avec une autre sur un point de doctrine,,CS
dixneuviémiste,,,,,E,NP,,C,Dérivation,iste,Autre,N de Spécialité,Qui est spécialisé dans la littérature du XIXe siècle,,CS
docker,,,,,M,NP,,C,Dérivation,er,N d'Agent,N de Profession ," qui travaille, sur les docks, au chargement et au déchargement des navires
",,CS
documentaliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,"qui collecte, gère et diffuse des documents pour le compte d'un organisme
",,CS
documentariste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,qui crée des films documentaires,,CS
donataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,à qui une donation est faite,à qui une donation est faite,CS
donateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,,qui fait un don,qui fait une donation,CS
douanier,,,,,V,-/-e,,C,Dérivation,ier,N d'Agent,N de Profession ,qui est au service de l'Administration des Douanes,,CS
doublure,,,,,F,NP,,C,Dérivation,NP,N d'Agent,N de Profession ,"qui remplace, en cas de besoin, l'acteur, l'actrice qui devait jouer
",,CS
drapier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,"qui fabrique, vend le drap",,CS
drogman,,,,,M,NP,,Autre,Emprunt,NP,Autre,N d’Interprète,"Interprète, dans les pays du Levant.
",,CS
droguiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,qui tient une droguerie,,CS
drummer,,,,,M,NP,,C,Emprunt,er,N d'Agent,N de Pratique ,"qui joue de la batterie, des percussions, dans un orchestre de jazz, de rock.
",,CS
duc,,,,,V,-ø/-esse,,NC,NP,NP,N de Statut,Titre,"qui porte le titre de noblesse le plus élevé après celui de prince
",,CS
duelliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,"qui se bat en duel, qui cherche les occasions de se battre en duel
",,CS
dur,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,N de Qualité morale,qui n'a peur de rien,,CS
Eaubonnais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à ou qui est originaire d'Eaubonnais,,DE
Eaux-Bonnais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à ou qui est originaire d'Eaux-Bonnais,,DE
ébaucheur,,,,,V,-eur/-euse,-,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui exécute l'ébauchage,,DF-
ébéniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui est spécialisé dans la fabrication des meubles de luxe,,DF-
éboueur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui est chargée d'enlever les boues et p. ext. les ordures ménagères,,DF-
Ébrocéen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite à ou qui est originaire d’Évrecy,,DE
ébroïcien,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant, Ville,Personne qui vit à ou est originaire d'Évreux ou d’Évricourt,,DE
ébrultien,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant, Ville,Personne qui vit à ou est originaire de Saint-Évroult-Notre-Dame-du-Bois,,DE
écailler,,,,,M,NP,,C,Dérivation,er,N d'Agent,N de Profession ,"Personne dont le travail consiste à ouvrir et à vendre des huîtres, des coquillages",,DF-
écarteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui provoque l'animal et l'évite par un écart (courses landaises),,DF-
écervelé,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,N de Défaut moral,"Personne qui est sans jugement, sans cervelle",,DF-
échafaudeur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui échafaude,,DF-
échangeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui procède à des échanges,"Personne qui, dans des opérations bancaires et boursières, procède à un échange de valeurs",DF-
échangiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,,Personne qui procède à des échanges,Personne qui est partie dans un échange,DF-
échanson,,,,,M,NP,,NC,Emprunt,NP,N d'Agent,N de Profession ,"Personne qui verse à boire à un dieu, à un roi ou à un seigneur",,DF-
échappé,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui a échappé (d'asile),,DF-
échellois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant, Ville,Personne qui vit à ou est originaire des Échelles ou de L’Échelle,,DE
écho,,,,,M,NP,,C,Emprunt,NP,N d'Agent,,"Personne qui rapporte, répète les paroles d'autrui, ou qui imite la conduite d'autrui",,DF-
échouboulinois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant, Ville,Personne qui vit à ou est originaire d'Échouboulains,,DE
eckevillois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant, Ville,Personne qui vit à ou est originaire d'Ecquevilly,,DE
éclairagiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Spécialiste des problèmes d'éclairage et de la réalisation d'éclairages relationnels,,DF-
éclopé,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui marche péniblement en raison d'un accident ou d'une blessure.,,DF-
éclusier,,,,,V,Autre,-ier/ -ière,C,Dérivation,ier,N d'Agent,N de Profession ,Personne chargée de garder et manœuvrer une écluse,,DF-
éco-conseiller,,,,,V,-er/-ère,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui conseille des entreprises quant aux questions environnementales ,,DF-
écogarde,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui est chargée de la surveillance de l'environnement ,,DF-
écolier,,,,,V,Autre,-ier/ -ière,C,Dérivation,ier,Autre,,Enfant qui fréquente l'´école maternelle ou primaire,,DF-
économe,,,,,M,NP,,C,Emprunt,NP,N d'Agent,N de Profession ,"Personne qui est chargée de l'administration matérielle, des recettes et dépenses dans une communauté religieuse, un établissement hospitalier, un collège",,DF-
économe de flux,,,,,M,NP,,P,NP,NP,N d'Agent,N de Profession ,Personne qui propose des solutions pour économiser la consommation d'énergie des entreprises et des collectivités,,DF-
économétricien,,,,,M,NP,,C,Dérivation,ien,N d'Agent,N de Spécialité,Personne qui est spécialiste en économétrie,,DF-
économiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialiste en économie politique et science économique,,DF-
économiste d'entreprise,,,,,M,NP,,P,NP,NP,N d'Agent,N de Spécialité,Personne qui est spécialiste de gestion d'entreprise,,DF-
économiste de la construction,,,,,M,NP,,P,NP,NP,N d'Agent,N de Spécialité,Personne qui est spécialiste d'économie de la construction,,DF-
écorché,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui a été écorché,,DF-
écornifleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,"Personne qui se procure à bon compte, par ruse, en volant, en parasitant",,DF-
écosseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,"Personne qui écosse des pois, des fèves",,DF-
écoutant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,N de Profession ,Personne qui écoute et conseille au téléphone des gens qui ont besoin d'une aide psychologique,,DF-
écraseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui écrase,,DF-
écrivain,,,,,V,Autre,-ain/ -aine,NC,NP,NP,N d'Agent,N de Créateur,Personne qui compose des ouvrages littéraires,,DF-
ectotais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant, Ville,Personne qui vit à ou est originaire d’Ectot-lès-Baons ou d’Ectot-l’Auber,,DE
écumeur de mer,,,,,V,-eur/-euse,,P,NP,NP,Autre,,Personne qui se livre à la piraterie,,DF-
édernois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant, Ville,Personne qui vit à ou est originaire d’Édern,,DE
égal,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,Société,"Personne qui ne présente pas de différence qualitative, de différence de valeur avec une autre",,DF-
égalitariste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Partisan de l'égalitarisme,,DF-
égaré,,,,,V,-/-e,,C,Conversion,NP,Autre,,"Personne qui s'est égarée, qui a perdu son chemin",,DF-
égletonnais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant, Ville,Personne qui vit à ou est originaire d’Égletons,,DE
égoïste,,,,,E,NP,,C,Dérivation,iste,N de Caractérisant,N de Défaut moral,Personne qui n'est occupé que par son intérêt ou son plaisir propre,,DF-
égorgeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui tue des animaux ou des êtres humains en leur tranchant la gorge,,DF-
éguenignon,,,,,V,-on/-onne,,C,Dérivation,on,N d’Habitant, Ville,Personne qui vit à ou est originaire d’Éguenigue,,DE
elbeuvien,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant, Ville,"Personne qui vit à ou est originaire de d’Elbeuf, d’Elbeuf-en-Bray ou d’Elbeuf-sur-Andelle",,DE
électricien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Spécialité,Personne spécialisée dans le matériel et les installations électriques,,DF-
électricien automobile,,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui s'occupe de l'entretien et l'installation de l'électronique automobile,,DF-
électricien bâtiment,,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui s'occupe de l'entretien et de l'établissement des installations électroniques d'un bâtiment,,DF-
Ellecourtois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d'Ellecourt,,DE
Elliantais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou qui est originaire d'Elliant,,DE
Elvinois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d'Elven,,DE
Embrunois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Embrun,,DE
encolleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui travaille à l'encollage des tissus,,DF-
enculé,,,,,V,-/-e,,C,Conversion,NP,Autre,,Homosexuel passif,,DF-
encyclopédiste,,,,,M,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Auteur d'une encyclopédie; en part. de l'Encyclopédie de Didérot,,DF-
endormeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Personne qui ennuie au point de donner envie de dormir,,DF-
endossataire,,,,,M,NP,,C,Dérivation,aire,N de Bénéficiaire,,Personne au profit de laquelle est endossé un effet,Personne au profit de laquelle est endossé un effet,DF-
endosseur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,Personne qui prend la responsabilité de quelque chose,Personne qui endosse un titre de crédit ou un effet de commerce,DF-
enfant,,,,,E,NP,,NC,NP,NP,N d’Âge,,Personne dans les premières années de sa vie et avant l'adolescence,,DF
engagé,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,,Personne qui s'est engagée volontairement dans l'armée,,DF
Enghiennois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Enghien,,DE
enlumineur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui réalise des enluminures,,DF
ennemi,,,,,V,-/-e,,NC,NP,NP,N de Caractérisant,,Personne qui est un agent de haine ou d'actions nuisibles,,DF
Ennezatois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Ennezat,,DE
enrhumé,,,,,V,-/-e,,C,Conversion,NP,N de Caractérisant,,Personne qui a le rhume,,DF
enrôlé,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui a été enrôlée,,DF
enseignant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,N de Profession ,Personne qui enseigne,,DF
ensemblier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui aménage une pièce d'habitation,,DF
ensorceleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,Personne qui exerce un grand pouvoir de séduction,,DF
enthousiaste,,,,,E,NP,,C,Conversion,NP,N de Caractérisant,,Personne qui est prompte à s'enthousiasmer,,DF
entomologiste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialiste en entomologie,,DF
Entrainois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entrains-sur-Nohain,,DE
Entraunois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entraunes,,DE
Entre-Deusien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entre-Deux,,DE
Entrecastelain,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entrecasteaux,,DE
entremetteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,Personne qui sert d'intermédiaire dans une intrigue galante,,DF
Entrevalais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entrevaux,,DE
Entrigot,,,,,V,-/-e,,C,Dérivation,ot,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Entraygues-sur-Truyère,,DE
envahisseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui envahit,,DF
Envermeudois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Envermeu,,DE
envoûteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,Personne qui envoûte les autres,,DF
Envronvillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Envronville,,DE
épave,,,,,E,NP,,NC,NP,NP,N de Caractérisant,,Personne qui est diminuée physiquement ou moralement,,DF
Épeignois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Épeigné-les-Bois,,DE
épicier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui tient une épicerie,,DF
épigraphiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialiste en épigraphie,,DF
épilogueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui épilogue,,DF
Épiniacais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Épiniac,,DE
éplucheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui épluche,,DF
Équeurdrevillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Équeurdreville-Hainneville,,DE
equilibriste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui fait des tours ou des exercices d'équilibre,,DF
équipier,,,,,V,-er/-ère,,C,Dérivation,ier,N de Statut,Membre,Personne qui est membre d'une équipe,,DF
Erbréen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Erbray ou d’Erbrée,,DE
Ercéen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,"Personne qui vit à ou est originaire d’d’Ercé, d’Ercé-en-Lamée ou d’Ercé-près-Liffré",,DE
Erdevennois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Erdeven,,DE
Erévanais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Erevan,,DE
Érizien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Érize-Saint-Dizier,,DE
Ermenouvillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Ermenouville,,DE
ermite,,,,,E,NP,,NC,NP,NP,N de Statut,,Personne qui vit à l'écart en solitaire,,DF
Ermontois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Ermont,,DE
Ernemontois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Ernemont-sur-Buchy,,DE
Esblygeois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Esbly,,DE
Escalanais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Escalans,,DE
Escarénois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire de L’Escarène,,DE
esclavagiste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Personne qui pratique ou prône l'esclavage,,DF
esclave,,,,,E,NP,,NC,NP,NP,N de Statut,,Personne qui est privée de sa liberté,,DF
Esclavollier,,,,,V,-er/-ère,,C,Dérivation,ier,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Esclavolles-Lurey,,DE
Escorpinois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Escorpain,,DE
Escourçois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Escource,,DE
Escovien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Eschau ou d’Écouis,,DE
Escragnollois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Escragnolles,,DE
escrimeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui fait de l'escrime,,DF
escroc,,,,,E,NP,,C,Emprunt,NP,N d'Agent,,Personne qui escroque,,DF
Eslettois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Eslettes,,DE
Esmanais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Esmans,,DE
Esnandais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui vit à ou est originaire d’Esnandes,,DE
espérantiste,,,,,E,NP,,NC,Dérivation,iste,N d’Adepte/de Partisan,,Personne qui pratique et est partisane de l'espéranto,,DF
espion,,,,,V,-on/-onne,,C,Dérivation,on,N d'Agent,N de Profession ,Personne qui espionne,,DF
esprit,,,,,M,NP,,NC,NP,NP,N Général,,Personne même considérée du point de vue intellectuel,,DF
Esséen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite à Essé ou qui est originaire d'Essé,,DF
esthéticien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,Personne qui est spécialisée dans les soins de beauté,,DF
estivant,,,,,V,-/-e,,C,Conversion,NP,Autre,,Personne qui passe l'été dans un lieu de villégiature,,DF
Estonien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Pays,Personne qui habite en Estonie ou qui est originaire d'Estonie,,DF
estropié,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui n'a pas ou plus l'usage normal d'un ou plusieurs membres,,DF
étameur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui étame,,DF
étiqueteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui étiquette des marchandises,,DF
étudiant,,,,,V,-/-e,,C,Dérivation,ant,N de Statut,,Personne qui fait des études dans un établissement d'enseignement supérieur,,DF
Eurasien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),Supranational,Personne qui habite en Eurasie ou qui est originaire d'Eurasie,,DF
eurodéputé,,,,,V,-/-e,,C,Composition,NP,N d'Agent,N de Fonction,Personne qui est députée au Parlement européen,,DF
Européen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),Supranational,Personne qui habite en Europe ou qui est originaire d'Europe,,DF
évadé,,,,,V,-/-e,,NC,Dérivation,é,N d'Agent,,Personne qui s'est évadée,,DF
éventailliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,"Personne qui orne, qui fabrique ou vend des éventails",,DF
éventreur,,,,,V,-eur/-euse,,NC,Dérivation,eur,N d'Agent,,Personne qui éventre,,DF
évêque,,,,,M,NP,,NC,NP,NP,N de Statut,Titre,Personne qui est placé à la tête d'un diocèse dans l'Église catholique,,DF
Excideuillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Excideuil ou qui est originaire d'Excideuil,,DF
exécutant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,N d’Interprète,Personne qui exécute sa partie en tant qu'instrumentiste,,DF
exhibitionniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,,Personne qui s'exhibe,,DF
expatrié,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui a quitté sa patrie,,DF
expert automobile,,,,,V,-/-e,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui expertise un véhicule après un accident pour en déterminer les causes et les responsabilités,,DF
extatique,,,,,E,NP,,C,Conversion,NP,N de Caractérisant,,"Personne qui fait l'expérience de l'extase, qui est dépositaire d'une révélation mystique, qui a reçu l'illumination",,DF
extracteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui extrait du minerai ou travaille à l'exploitation d'une carrière,,DF
fablier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N d’Interprète,Personne qui raconte des fables,,DE
Fabréguois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la communauté Fabrègues,,DF-
fabricant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,N de Profession ,Personne qui fabrique quelque chose ou qui dirige une entreprise qui fabrique quelque chose,,DE
fabricateur,,,,,V,-eur/-atrice,,C,Dérivation,ateur,N d'Agent,N de Profession ,Personne qui fabrique quelque chose,,DE
fabulateur,,,,,V,-eur/-atrice,,C,Dérivation,ateur,N d'Agent,,Personne qui raconte des histoires peu crédibles,,DE
fabuliste,,,,,E,NP,,NC,Dérivation,iste,N d'Agent,N de Créateur,Personne qui écrit des fables,,DE
façadier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui construit ou répare des façades,,DE
façonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui façonne des produits,,DE
façonnier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui réalise un ouvrage,,DE
façonnier des industries graphiques,,,,,V,-er/-ère,,C,Autre,ier,N d'Agent,N de Profession ,Personne qui réalise un ouvrage dans l'industrie graphique,,DE
facteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,"Personne qui fabrique un instrument de musique ou qui travaille à la poste, dans la distribution du courrier",,DE
facteur d'accordéon,,,,,V,-eur/-rice,,C,Autre,eur,N d'Agent,N de Profession ,Personne qui fabrique des accordéons,,DE
facteur d'instruments,,,,,V,-eur/-rice,,C,Autre,eur,N d'Agent,N de Profession ,Personne qui fabrique des instruments de musique,,DE
factieux,,,,,V,-eux/-euse,,C,Autre,eux,N d’Adepte/de Partisan,,"Personne qui appartient à une faction, qui s'insurge contre le pouvoir établi",,DE
factotum,,,,,M,NP,,C,Composition,NP,N d'Agent,N de Profession ,employé subalterne qui fait diverses tâches,,DE
facturier,,,,,V,-er/-ère,,C,Dérivation,ier,N d’Âge,N de Profession ,Personne dont le travail consiste à établir des factures et s'occuper de la comptabilité,,DE
facturiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,personne dont le travail consiste à s'occuper de la facturation,,DE
Fagien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune Fey,,DF-
